DataRefs
Device/Instrument;DataRef/Command;Format;Idx;D/C;R/W;Unit
Switchboard;sim/lights/taxi_lights_off;;;C;w;ONCE
Switchboard;sim/systems/avionics_on;;;C;w;ONCE
Switchboard;sim/systems/avionics_off;;;C;w;ONCE
Switchboard;sim/ice/pitot_heat0_on;;;C;w;ONCE
Switchboard;sim/ice/pitot_heat_2_on;;;C;w;ONCE
Switchboard;sim/ice/pitot_heat0_off;;;C;w;ONCE
Switchboard;sim/ice/pitot_heat_2_off;;;C;w;ONCE
Switchboard;sim/cockpit2/switches/panel_brightness_ratio;FLOAT[4];0;D;w;0..1
Parking Break;sim/cockpit2/controls/parking_brake_ratio;FLOAT;;D;w;0..1
Transpoder Code;sim/cockpit2/radios/actuators/transponder_code;INT;;D;r/w;0000..7777
Transponder Mode;VFLYTEAIR/AXP340/AXP340_MODE;INT;;D;r/w;0..5
Transponder Ident;sim/transponder/transponder_ident;;;C;w;ONCE
Transponder Light;sim/cockpit2/radios/indicators/transponder_id;INT;;D;r;bool
Fuel Gauge;sim/cockpit2/fuel/fuel_level_indicated_left;FLOAT;;D;r;kg
Fuel Gauge;sim/cockpit2/fuel/fuel_level_indicated_right;FLOAT;;D;r;kg
